"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2828281212206476644",="2828281212206476644","陈克明鸡蛋龙须挂面150g*10袋细挂面炸酱面热干面凉面拌面方便面","17.90","1","null","口味：鸡蛋龙须挂面150g*10袋","null","null","交易成功","null",="2022082222001134711434092111","17.87","17.87","没有申请退款","无退款申请","2022-08-22 19:34:41","2022-08-22 19:34:52"
="1651019809465469183",="1651019809465469183","海底捞火锅蘸料120g*3包原味香辣麻辣芝麻花生酱小包装调味料家用","11.70","2","null","口味：原味蘸料120g*3袋","null","null","交易成功","null",="2022082222001118315729285036","22.70","22.70","没有申请退款","无退款申请","2022-08-22 19:32:46","2022-08-22 19:32:51"
="2837406567093114554",="2837406567092114554","川娃子烧椒酱230g*3瓶四川烧椒酱辣椒酱炭烤虎皮青椒剁椒酱下饭菜","37.90","1","CWZZH27","口味：【3瓶】.烧椒酱230g*3瓶","null","null","交易关闭","CWZZH27",="2022082222001142161439508375","37.37","37.37","退款成功","37.37","2022-08-22 19:31:59","2022-08-22 19:32:03"
="2837406567094114554",="2837406567092114554","川娃子烧椒酱230g*3瓶四川烧椒酱辣椒酱炭烤虎皮青椒剁椒酱下饭菜","24.80","1","CWZZH26","口味：【2瓶】.烧椒酱230g*2瓶","null","null","交易关闭","CWZZH26",="2022082222001142161439508375","24.46","24.46","退款成功","24.46","2022-08-22 19:31:59","2022-08-22 19:32:03"
="1650926786402523690",="1650926786402523690","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022082222001106371456932262","20.28","20.28","没有申请退款","无退款申请","2022-08-22 19:28:57","2022-08-22 19:29:22"
="2837011934930715641",="2837011934930715641","小龙坎干碟香辣蘸料100g辣椒粉烧烤串串蘸碟辣椒面四川火锅调味料","25.80","1","null","null","null","null","交易成功","null",="2022082222001134011424940308","13.63","13.63","没有申请退款","无退款申请","2022-08-22 19:27:30","2022-08-22 19:27:33"
="2837394147663578632",="2837394147663578632","正品海天海鲜酱400g小瓶装烧烤蘸料红烧肉鱼拌面调味酱油火锅调料","17.80","1","hthxj001","口味：【实惠大瓶】-.海鲜酱400g*2瓶","null","null","交易成功","hthxj001",="2022082222001163531456232835","17.27","17.27","没有申请退款","无退款申请","2022-08-22 19:27:00","2022-08-22 19:27:16"
="1650223524185520999",="1650223524185520999","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：细挂面800g*3袋","null","null","交易成功","null",="2022082222001199451409936959","20.28","20.28","没有申请退款","无退款申请","2022-08-22 19:25:57","2022-08-22 19:26:03"
="2837391591569784515",="2837391591569784515","陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","1","null","口味：蔬菜小面280g*3袋","null","null","交易成功","null",="2022082222001172051453063245","19.21","19.21","没有申请退款","无退款申请","2022-08-22 19:25:31","2022-08-22 19:25:36"
="2835788400425685757",="2835788400425685757","海天大红浙醋450mL红醋泡菜专用商用水饺蟹虾醋凉拌醋烹饪调味料","9.90","1","htdhzc01","null","null","null","交易成功","htdhzc01",="2022082222001113081437923326","9.90","9.90","没有申请退款","无退款申请","2022-08-22 19:25:30","2022-08-22 19:25:34"
="2836671697064398306",="2836671697064398306","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：（新品）三鲜牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022082222001149001431512810","6.56","6.56","没有申请退款","无退款申请","2022-08-22 19:24:04","2022-08-22 19:24:08"
="1650921926580210999",="1650921926580210999","安琪百钻冰粉粉家用自制烧仙草西米红糖果冻冰白凉粉专用配料商用","14.80","1","bzbff01","口味：【新品尝鲜】冰粉粉300g*1袋(内含12小包)","null","null","交易关闭","bzbff01",="2022082222001197851402912556","14.36","14.36","退款成功","14.36","2022-08-22 19:23:53","2022-08-22 19:23:54"
="1651011997615469183",="1651011997615469183","海底捞火锅蘸料120g*3包原味香辣麻辣芝麻花生酱小包装调味料家用","11.70","2","null","口味：香辣蘸料120g*3袋","null","null","交易关闭","null",="2022082222001118315729306901","22.70","22.70","退款成功","22.70","2022-08-22 19:23:05","2022-08-22 19:23:14"
="1651012105117795975",="1651012105117795975","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","8.50","1","AQZH05","颜色分类：5g*10袋【无赠品】","null","null","交易成功","AQZH05",="2022082222001160381407325151","7.51","7.51","没有申请退款","无退款申请","2022-08-22 19:22:17","2022-08-22 19:22:24"
