"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2892163105569384422",="2892163105569384422","凤球唛番茄调味酱850g沙司商用手抓饼薯条披萨意大利面酱番茄酱","12.90","1","null","null","null","null","交易成功","null",="2022091722001166241407399942","12.90","12.90","没有申请退款","无退款申请","2022-09-17 00:02:35","2022-09-17 00:03:01"
="2892880551804936619",="2892880551804936619","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易关闭","null",="2022091622001198651421794086","6.56","6.56","退款成功","6.56","2022-09-16 23:59:46","2022-09-16 23:59:58"
="2892159937387403051",="2892159937387403051","陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","1","null","口味：【3包组合】钙铁锌+鸡蛋+蝴蝶","null","null","交易成功","null",="2022091622001114451400292722","19.21","19.21","没有申请退款","无退款申请","2022-09-16 23:59:18","2022-09-17 00:01:26"
="2891349108849479663",="2891349108849479663","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091622001163251440058937","6.56","6.56","没有申请退款","无退款申请","2022-09-16 23:58:42","2022-09-16 23:58:50"
="2892158605540244815",="2892158605540244815","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","2","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022091622001118631401855745","13.11","13.11","没有申请退款","无退款申请","2022-09-16 23:58:15","2022-09-17 10:58:04"
="2892876807951663939",="2892876807951663939","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","3.50","1","aqjq01","颜色分类：【甜味型】甜酒曲8g*1袋（品尝装）","null","null","交易成功","aqjq01",="2022091622001193961431039180","3.40","3.40","没有申请退款","无退款申请","2022-09-16 23:56:38","2022-09-17 00:01:59"
="1672079628966990899",="1672079628966990899","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","如果可以发邮政的话最好了。","交易成功","null",="2022091622001118231409609041","20.28","20.28","没有申请退款","无退款申请","2022-09-16 23:56:36","2022-09-16 23:56:41"
="2892878967335382314",="2892878967335382314","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091622001158211459962742","6.56","6.56","没有申请退款","无退款申请","2022-09-16 23:56:31","2022-09-16 23:56:37"
="2892879939045062957",="2892879939045062957","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：圆挂面800g*3袋","null","null","交易成功","null",="2022091622001149491438025082","20.28","20.28","没有申请退款","无退款申请","2022-09-16 23:56:04","2022-09-16 23:56:52"
="2892154789892663939",="2892154789892663939","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","3.50","1","aqjq01","颜色分类：【甜味型】甜酒曲8g*1袋（品尝装）","null","null","交易成功","aqjq01",="2022091622001193961430655965","3.40","3.40","没有申请退款","无退款申请","2022-09-16 23:55:40","2022-09-17 00:01:59"
="2892154609819382314",="2892154609819382314","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022091622001158211459228367","6.56","6.56","没有申请退款","无退款申请","2022-09-16 23:55:19","2022-09-16 23:55:26"
="2892568106882293760",="2892568106882293760","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022091622001112381450217670","20.28","20.28","没有申请退款","无退款申请","2022-09-16 23:54:29","2022-09-16 23:54:46"
="2892153385500057706",="2892153385500057706","草原红太阳烧烤料35g*5袋 孜然粉烧烤调料烤肉料撒料粉烤鱼蘸料","20.80","2","null","null","null","null","交易成功","null",="2022091622001105861422658482","23.00","23.00","没有申请退款","无退款申请","2022-09-16 23:52:22","2022-09-16 23:52:28"
="2892875367360733902",="2892875367359733902","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091622001141581406323906","6.56","6.56","没有申请退款","无退款申请","2022-09-16 23:52:15","2022-09-16 23:52:32"
="2892875367361733902",="2892875367359733902","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","15.80","1","null","口味：【买就送5】青椒牛油150g*2袋","null","null","交易成功","null",="2022091622001141581406323906","15.01","15.01","没有申请退款","无退款申请","2022-09-16 23:52:15","2022-09-16 23:52:32"
="2892151225898284104",="2892151225898284104","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091622001172441439028669","6.56","6.56","没有申请退款","无退款申请","2022-09-16 23:51:58","2022-09-16 23:52:05"
="1672884733027079779",="1672884733027079779","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：宽挂面800g*3袋","null","null","交易成功","null",="2022091622001192101422764613","20.28","20.28","没有申请退款","无退款申请","2022-09-16 23:51:17","2022-09-16 23:51:26"
="1672783395814763367",="1672783395813763367","崔字牌熟白芝麻粒236g家用带皮即食炒白芝麻杂粮干吃烘焙汤圆馅料","26.90","1","null","null","null","null","交易成功","null",="2022091622001131481440260004","13.90","13.90","没有申请退款","无退款申请","2022-09-16 23:50:49","2022-09-16 23:50:55"
="1672783395815763367",="1672783395813763367","安琪百钻高筋小麦粉500g家用做面包专用粉高筋面粉披萨烘焙原料","8.80","1","bzgjxmf01","口味：高筋小麦粉500g*1袋","null","null","交易关闭","bzgjxmf01",="2022091622001131481440260004","8.80","8.80","退款成功","8.80","2022-09-16 23:50:49","2022-09-16 23:50:55"
="2892872199740678062",="2892872199740678062","草原红太阳烧烤酱家用烧烤专用撒料调料奥尔良蒜蓉烤肉蘸料商用","12.80","1","null","口味：烧烤酱（新奥尔良）3袋装【送孜然粉5包】","null","null","交易成功","null",="2022091622001123981428719450","11.52","11.52","没有申请退款","无退款申请","2022-09-16 23:50:03","2022-09-16 23:50:10"
="2892565658485464410",="2892565658485464410","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022091622001117941426152938","20.28","20.28","没有申请退款","无退款申请","2022-09-16 23:49:56","2022-09-16 23:50:03"
="1672075776906840467",="1672075776906840467","太太乐汤之鲜调味料瑶柱鸡汤猪骨牛肉速食汤料高汤浓缩家用小包装","14.90","1","null","净含量：112g;口味：汤之鲜清炖牛肉味112g*1盒","null","null","交易成功","null",="2022091622001144191412372693","10.48","10.48","没有申请退款","无退款申请","2022-09-16 23:48:44","2022-09-16 23:48:56"
="1672750346104339580",="1672750346104339580","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","53.20","1","MJZH58","口味：【共8盒】4口味各2盒（经典款）","null","null","交易成功","MJZH58",="2022091622001197531436887084","43.20","43.20","没有申请退款","无退款申请","2022-09-16 23:47:37","2022-09-16 23:47:39"
="2891340468203840031",="2891340468203840031","海底捞火锅蘸料原味香辣麻辣组合花生芝麻酱火锅调味料小包装家用","19.50","1","null","口味：原味4包+麻辣1包(送土豆粉2包）","null","null","交易成功","null",="2022091622001183151420296838","18.92","18.92","没有申请退款","无退款申请","2022-09-16 23:47:33","2022-09-16 23:47:38"
="2892868563604124818",="2892868563604124818","海天烧烤汁1.28L商用叉烧腌制酱料烧烤调料烧烤牛排鸡翅烤肉调料","35.80","1","htskz02","null","null","null","交易关闭","htskz02",="2022091622001177671405082290","19.80","19.80","退款成功","19.80","2022-09-16 23:46:26","2022-09-16 23:46:32"
