"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2856022993000943563",="2856022993000943563","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022083122001124701402205204","20.90","20.90","没有申请退款","无退款申请","2022-08-31 20:03:14","2022-08-31 20:03:15"
="2857639971385034520",="2857639971385034520","安琪酵母粉5g家用耐高糖发酵粉即发高活性干酵母馒头包子面包烘焙","11.90","1","AQZH13","颜色分类：【包子馒头用】“红色款”酵母5g*20袋（无赠品）","null","null","交易成功","AQZH13",="2022083122001117791445310675","11.55","11.55","没有申请退款","无退款申请","2022-08-31 20:02:11","2022-08-31 20:02:19"
="2856910537690053847",="2856910537689053847","海底捞锅巴网红零食小包装锅巴妙脆角爆米花炒米哇哦火锅零食小吃","26.80","1","null","口味：【30包】虎牙脆*10+锅巴*10+玉米豆*10","null","null","交易成功","null",="2022083122001115461406210229","26.00","26.00","没有申请退款","无退款申请","2022-08-31 20:00:21","2022-08-31 20:00:31"
="2856910537691053847",="2856910537689053847","海底捞小料台火锅蘸料油碟花生芝麻酱调料蘸酱蒜蓉沙茶酱香辣干碟","35.00","1","null","口味：【全家福12袋】12口味蘸料混合（可备注）","null","null","交易成功","null",="2022083122001115461406210229","33.95","33.95","没有申请退款","无退款申请","2022-08-31 20:00:21","2022-08-31 20:00:31"
="2856910537692053847",="2856910537689053847","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","25.80","2","null","口味：【买就送5】番茄+清汤底料","null","null","交易成功","null",="2022083122001115461406210229","49.02","49.02","没有申请退款","无退款申请","2022-08-31 20:00:21","2022-08-31 20:00:31"
="1658317080953864083",="1658317080953864083","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022083122001110261454020980","20.87","20.87","没有申请退款","无退款申请","2022-08-31 20:00:04","2022-08-31 20:00:13"
="2857277486536041011",="2857277486536041011","海底捞青椒牛油火锅底料150g重庆麻辣串串香炒菜煮面青椒鱼调味料","20.00","3","null","null","null","null","交易成功","null",="2022083122001101391410887120","23.14","23.14","没有申请退款","无退款申请","2022-08-31 19:58:50","2022-08-31 19:58:52"
="1659031719326809384",="1659031719326809384","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨清油底料120g","null","null","交易成功","null",="2022083122001124891405509715","6.56","6.56","没有申请退款","无退款申请","2022-08-31 19:58:47","2022-08-31 19:58:53"
="1659030927480621697",="1659030927480621697","草原红太阳烧烤酱炸串刷料酱奥尔良腌烤鸡翅料烤肉蘸料调料家用","5.80","30","null","口味：香辣烧烤酱110g","null","null","交易成功","null",="2022083122001151291454922682","171.20","171.20","没有申请退款","无退款申请","2022-08-31 19:58:10","2022-08-31 19:58:19"
="2855979000983058515",="2855979000983058515","太太乐酸汤肥牛调味料100g*3袋酸菜鱼家用金酸汤酱料理包火锅底料","25.90","1","TTLZH26","口味：酸汤肥牛调味料100g*3袋","null","null","交易成功","TTLZH26",="2022083122001177471403158217","25.90","25.90","没有申请退款","无退款申请","2022-08-31 19:57:31","2022-08-31 19:57:36"
